Partlist

Exported from Blade.brd at 25.03.2020 16:29

EAGLE Version 9.6.0 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                      Package                    Library              Position (mil)        Orientation
U9       STM32F77XXXLQFP208         QFP50P3060X3060X385-208    stm32f               (2700 1475)           R225
U10      ADS1148QPWRQ1              TSSOP28                    ads11xx              (2800 3350)           R180
U11      ADS1148QPWRQ1              TSSOP28                    ads11xx              (3400 2850)           R0
U12      ADS1148QPWRQ1              TSSOP28                    ads11xx              (2925 2675)           R270
U13      ADR366WAUJZ                SOT23-5                    ADR360               (2625 1450)           MR0
X1       D-SUB9-H5M09RA             H5M09RA                    con-thomas-betts     (6050 750)            R90
X2       D-SUB15-H5M15RA            H5M15RA                    con-thomas-betts     (6050 2300)           R90
X3       USBPTH                     USB-B-PTH                  aSparkFun            (5950 3650)           R180
X_IN_1                              SMA_EDGELAUNCH             adafruit             (0 3800)              R0
X_IN_2                              SMA_EDGELAUNCH             adafruit             (0 3350)              R0
X_IN_3                              SMA_EDGELAUNCH             adafruit             (0 2900)              R0
X_IN_4                              SMA_EDGELAUNCH             adafruit             (0 2450)              R0
X_IN_5                              SMA_EDGELAUNCH             adafruit             (0 2000)              R0
X_IN_6                              SMA_EDGELAUNCH             adafruit             (0 1550)              R0
X_IN_7                              SMA_EDGELAUNCH             adafruit             (0 1100)              R0
X_IN_8                              SMA_EDGELAUNCH             adafruit             (0 650)               R0
X_IN_9                              SMA_EDGELAUNCH             adafruit             (0 200)               R0
X_IN_10                             SMA_EDGELAUNCH             adafruit             (1425 4200)           R270
X_IN_11                             SMA_EDGELAUNCH             adafruit             (1875 4200)           R270
X_IN_12                             SMA_EDGELAUNCH             adafruit             (2775 4200)           R270
X_IN_13                             SMA_EDGELAUNCH             adafruit             (2325 4200)           R270
X_IN_14                             SMA_EDGELAUNCH             adafruit             (3225 4200)           R270
X_IN_15                             SMA_EDGELAUNCH             adafruit             (3675 4200)           R270
X_PROG                              MA07-2                     con-lstb             (3450 825)            R225
